product_id,category,subcategory,cost,price
P000001,Beauty,Haircare,26.73,41.02
P000002,Beauty,Makeup,34.02,48.7
P000003,Sports,Outdoor,87.53,143.71
P000004,Apparel,Tops,39.3,61.41
P000005,Apparel,Tops,139.7,237.41
P000006,Home,Kitchen,81.62,127.78
P000007,Home,Kitchen,29.18,37.9
P000008,Home,Decor,81.55,119.97
P000009,Beauty,Haircare,115.01,165.69
P000010,Sports,Fitness,53.37,91.65
P000011,Electronics,Mobile,138.79,213.66
P000012,Sports,Fitness,93.92,149.91
P000013,Electronics,Mobile,42.68,67.35
P000014,Electronics,Mobile,93.19,142.15
P000015,Sports,Fitness,127.68,154.53
P000016,Sports,Fitness,28.13,39.55
P000017,Apparel,Bottoms,79.36,129.33
P000018,Apparel,Bottoms,118.6,167.08
P000019,Home,Decor,73.1,88.69
P000020,Electronics,Audio,16.29,21.98
P000021,Sports,Fitness,44.58,63.5
P000022,Apparel,Bottoms,118.9,172.32
P000023,Home,Decor,75.17,100.61
P000024,Home,Kitchen,66.06,110.76
P000025,Sports,Outdoor,99.41,162.85
P000026,Electronics,Mobile,37.98,55.64
P000027,Apparel,Bottoms,6.5,8.95
P000028,Home,Decor,6.4,9.84
P000029,Beauty,Makeup,17.08,23.05
P000030,Apparel,Outerwear,64.17,87.03
P000031,Home,Storage,66.52,104.78
P000032,Sports,Accessories,78.57,101.71
P000033,Apparel,Outerwear,131.29,190.5
P000034,Sports,Outdoor,123.03,159.16
P000035,Electronics,Accessories,68.97,105.63
P000036,Sports,Accessories,114.78,146.96
P000037,Electronics,Mobile,96.23,162.34
P000038,Home,Kitchen,99.67,150.64
P000039,Electronics,Audio,75.13,110.39
P000040,Electronics,Mobile,41.12,58.35
P000041,Beauty,Haircare,51.21,87.84
P000042,Electronics,Accessories,106.57,153.63
P000043,Beauty,Skincare,6.31,9.11
P000044,Sports,Outdoor,56.99,71.92
P000045,Apparel,Tops,123.48,177.13
P000046,Sports,Accessories,117.45,181.44
P000047,Electronics,Accessories,133.5,211.23
P000048,Sports,Fitness,91.53,136.93
P000049,Electronics,Accessories,53.48,86.43
P000050,Beauty,Makeup,83.84,123.33
P000051,Electronics,Audio,48.24,59.73
P000052,Electronics,Mobile,125.45,195.36
P000053,Sports,Fitness,77.64,105.27
P000054,Beauty,Makeup,5.34,9.48
P000055,Beauty,Makeup,82.15,103.25
P000056,Sports,Fitness,124.1,211.91
P000057,Sports,Accessories,98.82,173.82
P000058,Beauty,Haircare,86.2,111.12
P000059,Beauty,Skincare,34.58,42.4
P000060,Home,Decor,11.2,19.54
P000061,Apparel,Bottoms,50.03,67.98
P000062,Home,Storage,126.28,226.91
P000063,Apparel,Tops,65.11,116.15
P000064,Apparel,Bottoms,113.1,161.85
P000065,Beauty,Haircare,135.25,184.09
P000066,Sports,Outdoor,61.5,109.32
P000067,Sports,Fitness,86.93,134.32
P000068,Sports,Accessories,15.67,20.3
P000069,Home,Storage,132.62,202.06
P000070,Beauty,Makeup,100.88,133.12
P000071,Electronics,Accessories,8.34,13.16
P000072,Electronics,Accessories,22.3,31.58
P000073,Beauty,Skincare,109.83,143.59
P000074,Sports,Outdoor,83.75,102.46
P000075,Beauty,Makeup,28.77,39.15
P000076,Electronics,Audio,57.66,70.57
P000077,Beauty,Skincare,34.11,54.81
P000078,Apparel,Outerwear,60.31,76.24
P000079,Electronics,Mobile,75.22,113.61
P000080,Home,Decor,41.41,50.15
P000081,Sports,Fitness,23.94,33.16
P000082,Sports,Fitness,63.22,108.66
P000083,Electronics,Accessories,57.71,88.83
P000084,Apparel,Outerwear,96.02,117.97
P000085,Home,Decor,109.32,157.08
P000086,Apparel,Outerwear,35.01,58.31
P000087,Sports,Accessories,95.25,132.98
P000088,Apparel,Tops,62.93,101.61
P000089,Home,Decor,134.35,209.04
P000090,Sports,Outdoor,90.52,115.66
P000091,Sports,Accessories,25.07,42.42
P000092,Apparel,Tops,95.58,158.09
P000093,Apparel,Tops,21.13,34.96
P000094,Beauty,Skincare,72.9,102.07
P000095,Electronics,Audio,133.38,185.01
P000096,Electronics,Mobile,54.39,92.07
P000097,Beauty,Haircare,122.16,167.82
P000098,Sports,Outdoor,6.5,8.88
P000099,Home,Decor,49.94,89.49
P000100,Sports,Outdoor,129.51,172.57
P000101,Electronics,Mobile,56.1,89.95
P000102,Beauty,Haircare,102.09,139.36
P000103,Sports,Accessories,55.94,86.7
P000104,Beauty,Haircare,111.46,145.45
P000105,Sports,Accessories,46.53,64.7
P000106,Apparel,Bottoms,61.88,107.24
P000107,Electronics,Mobile,48.89,66.3
P000108,Home,Storage,10.03,12.76
P000109,Beauty,Haircare,99.22,160.16
P000110,Sports,Outdoor,16.47,23.38
P000111,Beauty,Makeup,59.95,87.61
P000112,Electronics,Accessories,5.01,7.78
P000113,Sports,Accessories,104.83,130.31
P000114,Apparel,Tops,21.9,31.0
P000115,Home,Kitchen,46.91,64.04
P000116,Beauty,Skincare,83.98,118.02
P000117,Home,Decor,55.93,93.0
P000118,Beauty,Makeup,90.54,142.59
P000119,Electronics,Audio,82.63,139.19
P000120,Electronics,Mobile,50.75,74.55
P000121,Beauty,Skincare,107.7,173.56
P000122,Home,Storage,43.53,68.44
P000123,Apparel,Bottoms,10.79,13.34
P000124,Electronics,Accessories,24.1,38.14
P000125,Electronics,Mobile,105.05,133.53
P000126,Apparel,Bottoms,79.33,99.11
P000127,Home,Storage,22.64,40.33
P000128,Apparel,Tops,29.8,46.36
P000129,Electronics,Accessories,133.2,191.34
P000130,Electronics,Audio,95.06,165.68
P000131,Apparel,Outerwear,42.65,51.84
P000132,Beauty,Makeup,130.56,205.17
P000133,Sports,Outdoor,139.32,187.12
P000134,Beauty,Skincare,69.28,120.63
P000135,Apparel,Tops,80.6,142.53
P000136,Home,Kitchen,133.02,170.33
P000137,Apparel,Tops,55.8,95.13
P000138,Home,Decor,10.06,15.57
P000139,Sports,Fitness,30.45,51.03
P000140,Sports,Outdoor,105.58,129.81
